Bärenplatz/1;Speichergasse/4;184
Bärenplatz/1;Neuengasse/2;209
Neuengasse/2;Neuengasse/1;87
Speichergasse/4;Speichergasse/2;301
Speichergasse/4;Birkenweg/1;120
Neuengasse/1;Neuengasse/2;195
Speichergasse/2;Bollwerk/1;170
Neuengasse/1;Speichergasse/2;268
Bollwerk/1;Schänzlihalde/1;395
Nordring/5;Bollwerk/1;425
Bollwerk/1;Nordring/2;530
Schänzlihalde/1;Schänzlihalde/2;93
Schänzlihalde/2;Wyttenbach/2;109
Wyttenbach/2;Viktoria/1;140
Wyttenbach/2;Viktoria/3;98
Schänzlihalde/1;Wyttenbach/2;107
Nordring/2;Viktoria/3;65
Viktoria/3;Wyttenbach/4;155
Viktoria/1;Wyttenbach/4;190
Wyttenbach/4;Rönerweg/1;187
Rönerweg/1;Birkenweg/1;180
Nordring/2;Rönerweg/1;349
Nordring/2;Birkenweg/1;541
Nordring/5;Lagerweg/1;213
Lagerweg/1;Rönerweg/1;380
Birkenweg/1;Suhr1;66950
Lagerweg/1;Suhr1;66841
Suhr1;Suhr2;170
Suhr1;Suhr3;219
Suhr1;Suhr4;272
Suhr1;Suhr5;282
Suhr1;Suhr6;198
Suhr2;Suhr3;43
Suhr3;Suhr4;50
Suhr3;Suhr5;384
Suhr3;Suhr6;300
Suhr4;Suhr5;43
Suhr4;Suhr6;266
Suhr5;Suhr6;163
Suhr5;Suhr10;141
Suhr6;Suhr7;90
Suhr7;Suhr8;104
Suhr7;Suhr9;140
Suhr7;Suhr10;145
Suhr8;Suhr9;128
Suhr8;Suhr10;246
Suhr8;Suhr12;219
Suhr8;Suhr13;234
Suhr8;Suhr15;159
Suhr10;Suhr11;64
Suhr11;Suhr12;77
Suhr11;Suhr28;122
Suhr12;Suhr13;90
Suhr12;Suhr25;217
Suhr12;Suhr27;163
Suhr13;Suhr17;209
Suhr13;Suhr22;179
Suhr13;Suhr25;210
Suhr13;Suhr27;157
Suhr15;Suhr14;105
Suhr15;Suhr16;105
Suhr16;Suhr18;119
Suhr16;Suhr22;121
Suhr16;Suhr20;184
Suhr17;Suhr22;113
Suhr18;Suhr19;146
Suhr18;Suhr20;218
Suhr19;Suhr20;74
Suhr20;Suhr21;228
Suhr20;Suhr22;75
Suhr22;Suhr23;181
Suhr23;Suhr24;44
Suhr23;Suhr25;86
Suhr25;Suhr26;67
Suhr25;Suhr27;232
Suhr27;Suhr28;78
Suhr27;Suhr29;48
Suhr28;Suhr29;61
Suhr29;Suhr30;205
Buempliz/Bernstrasse/1;Neuengasse/1;3700
Buempliz/Kehrgasse/1;Neuengasse/1;3780
Buempliz/Kehrgasse/3;Neuengasse/1;3680
Buempliz/Gotenstrasse/1;Buempliz/Schwabstrasse/1;216
Buempliz/Schwabstrasse/1;Buempliz/Keltenstrasse/3;124
Buempliz/Keltenstrasse/3;Buempliz/Betlehemstrasse/1;301
Buempliz/Betlehemstrasse/1;Buempliz/Gotenstrasse/1;335
Buempliz/Keltenstrasse/3;Buempliz/Keltenstrasse/2;126
Buempliz/Keltenstrasse/2;Buempliz/Keltenstrasse/1;145
Buempliz/Keltenstrasse/1;Buempliz/Buchdruckerweg/1;129
Buempliz/Keltenstrasse/2;Buempliz/Nord/1;576
Buempliz/Buchdruckerweg/1;Buempliz/Lorbeerstrasse/1;272
Buempliz/Lorbeerstrasse/1;Buempliz/Myrtenweg/1;189
Buempliz/Lorbeerstrasse/1;Buempliz/Myrtenweg/2;227
Buempliz/Myrtenweg/2;Buempliz/Myrtenweg/1;146
Buempliz/Myrtenweg/1;Buempliz/Stapfenackerstrasse/1;412
Buempliz/Stapfenackerstrasse/1;Buempliz/Stapfenackerstrasse/2;296
Buempliz/Stapfenackerstrasse/2;Buempliz/Abendstrasse/1;365
Buempliz/Abendstrasse/1;Buempliz/Nord/1;175
Buempliz/Stapfenackerstrasse/1;Buempliz/Abendstrasse/1;500
Buempliz/Nord/1;Buempliz/Buemplitzstrasse/1;321
Buempliz/Buemplitzstrasse/1;Buempliz/Betlehemstrasse/1;407
Buempliz/Betlehemstrasse/1;Buempliz/Langobardenstrasse/1;251
Buempliz/Betlehemstrasse/1;Buempliz/Kehrgasse/1;320
Buempliz/Kehrgasse/1;Buempliz/Kehrgasse/2;185
Buempliz/Kehrgasse/2;Buempliz/Kehrgasse/3;140
Buempliz/Kehrgasse/3;Buempliz/Bernstrasse/1;187
Buempliz/Kehrgasse/2;Buempliz/Bernstrasse/2;394
Buempliz/Bernstrasse/1;Buempliz/Bernstrasse/2;210
Buempliz/Bernstrasse/2;Buempliz/Keltenstrasse/1;468
Buempliz/Bernstrasse/2;Buempliz/Keltenstrasse/2;361
Buempliz/Bernstrasse/2;Buempliz/Gotenstrasse/1;406
Buempliz/Buchdruckerweg/1;Buempliz/Buemplitzstrasse/1;597
Buempliz/Nord/1;Buempliz/Keltenstrasse/3;439
Buempliz/Lorbeerstrasse/1;Buempliz/Abendstrasse/1;436
Buempliz/Lorbeerstrasse/1;Buempliz/Stapfenackerstrasse/1;408
Buempliz/Lorbeerstrasse/1;Buempliz/Abendstrasse/1;313
Buempliz/Gotenstrasse/1;Buempliz/Kehrgasse/2;307
Buempliz/Keltenstrasse/3;Buempliz/Buemplitzstrasse/1;471
